id,text,clean_text,will_labels,ty_labels,will_binary_label,ty_binary_label
1367,"on Monday, September 22nd, 2014 at 5:33 pm and is filed under Uncategorized.","on Monday, September 22nd, 2014 at 5:33 pm and is filed under Uncategorized.",['0'],['0'],0,0
499,"Under the Data Quality Act, material which is considered ""influential scientific information""--in other words, is likely to influence public policy or private sector decisions--is also subject to the scrutiny of scientific validation. The National Assessment on Climate Change (2000) and EPA's Climate Action Report 2002 base their analyses of the potential impacts of climate change on two computer models that are incapable of providing reliable predictions. Efforts to validate these two models actually exposed them as less capable at predicting climate impacts than a table of random numbers. The law prohibits this.","Under the Data Quality Act, material which is considered ""influential scientific information""--in other words, is likely to influence public policy or private sector decisions--is also subject to the scrutiny of scientific validation. The National Assessment on Climate Change (2000) and EPA's Climate Action Report 2002 base their analyses of the potential impacts of climate change on two computer models that are incapable of providing reliable predictions. Efforts to validate these two models actually exposed them as less capable at predicting climate impacts than a table of random numbers. The law prohibits this.",['5.1.4'],['5.1.4'],2,2
652,"As a result: no transmission, no PPA. No PPA, no CPUC portfolio. No CPUC portfolio, no CAISO transmission. This is known as the chicken and egg problem. But there are some promising signs indicating that this problem may be moving toward a solution.","As a result: no transmission, no PPA. No PPA, no CPUC portfolio. No CPUC portfolio, no CAISO transmission. This is known as the chicken and egg problem. But there are some promising signs indicating that this problem may be moving toward a solution.",['0'],['0'],0,0
793,"A similar thing happened from 1940 to 1980 during the post-Second-World-War industrial boom when carbon dioxide increased rapidly, but was accompanied by 40 years of global cooling.","A similar thing happened from 1940 to 1980 during the post-Second-World-War industrial boom when carbon dioxide increased rapidly, but was accompanied by 40 years of global cooling.","['1.4', '2.2']",['2.1.4'],2,2
1378,CEI Expert Available to Comment: Director of Global Warming Policy Myron Ebell on last year's climate pact with several Asian nations:,CEI Expert Available to Comment: Director of Global Warming Policy Myron Ebell on last year's climate pact with several Asian nations:,['0'],['0'],0,0
1996,"Freezing Alaskan blogger: ""Whereas as the spectre of global warming once was quite appalling, today it's quite appealing! Bring it on says I!""","Freezing Alaskan blogger: ""Whereas as the spectre of global warming once was quite appalling, today it's quite appealing! Bring it on says I!""",['3'],['1.3'],2,2
411,"Every time a serious problem occurred for IPCC official climate science or those promoting it, they hired professional spin doctors. Why do official climate scientists need spin doctors? Answer, because they practice politics not science. Climategate, like its namesake Watergate, became exposed by the cover up, in this case disgraceful, atypical behavior disclosed in the emails.","Every time a serious problem occurred for IPCC official climate science or those promoting it, they hired professional spin doctors. Why do official climate scientists need spin doctors? Answer, because they practice politics not science. Climategate, like its namesake Watergate, became exposed by the cover up, in this case disgraceful, atypical behavior disclosed in the emails.",['5.2.5'],"['5.2.5', '5.3.2']",2,2
1451,"The normalization of TA and DIC to a constant salinity subdues the buffering provided by salinity; while amplifying the acidification effect of increasing CO2. A realistic treatment of salinity, yields an insignificant lowering of pH from a doubling of pre-industrial CO2. Chicken Little of the Sea does not appear to be very dangerous.","The normalization of TA and DIC to a constant salinity subdues the buffering provided by salinity; while amplifying the acidification effect of increasing CO2. A realistic treatment of salinity, yields an insignificant lowering of pH from a doubling of pre-industrial CO2. Chicken Little of the Sea does not appear to be very dangerous.",['3.2.3'],['3.2.3'],2,2
43,"A breakthrough came the following spring, when Tony Tyler, head of the International Air Transport Association, met with Mike and made it clear that the industry would support a robust market-based measure in ICAO.","A breakthrough came the following spring, when Tony Tyler, head of the International Air Transport Association, met with Mike and made it clear that the industry would support a robust market-based measure in ICAO.",['0'],['0'],0,0
1974,"Considering local context is also critical to weighing the synergies and tradeoffs of particular NbS investments. Aquifer recharge during high flow periods, for example, can both reduce the impact of floods and increase water availability longer into dry periods, which could be beneficial in places like California where some communities experience both extreme dry and wet periods. Conversely, although tree planting or reforestation are known to lessen some flood impacts, increasing vegetative cover can also increase evapotranspiration, which may exacerbate drought impacts.","Considering local context is also critical to weighing the synergies and tradeoffs of particular NbS investments. Aquifer recharge during high flow periods, for example, can both reduce the impact of floods and increase water availability longer into dry periods, which could be beneficial in places like California where some communities experience both extreme dry and wet periods. Conversely, although tree planting or reforestation are known to lessen some flood impacts, increasing vegetative cover can also increase evapotranspiration, which may exacerbate drought impacts.",['0'],['0'],0,0
1143,"Of course, even though the headline talks of ???climate change, and even though temperatures haven??t risen in more than 17 years, the article itself still wails about global warming.","Of course, even though the headline talks of ""climate change, and even though temperatures haven't risen in more than 17 years, the article itself still wails about global warming.","['1.4', '5.2.2']",['1.4'],2,2
509,"How different it was four years ago. Shortly after Obama's first inauguration, he and Canada's Prime Minister Stephen Harper launched a bilateral Clean Energy Dialogue to promote technology innovation, policy cooperation, and lower greenhouse gas (GHG) emissions in North America. Since then, we've seen two action plans and several announcements from the lead government agencies the U.S. Department of Energy and Environmental Protection Agency (EPA), Environment Canada and Natural Resources Canada (NRCan) and the lead officials in all four have been changed by cabinet shuffle or resignation.","How different it was four years ago. Shortly after Obama's first inauguration, he and Canada's Prime Minister Stephen Harper launched a bilateral Clean Energy Dialogue to promote technology innovation, policy cooperation, and lower greenhouse gas (GHG) emissions in North America. Since then, we've seen two action plans and several announcements from the lead government agencies the U.S. Department of Energy and Environmental Protection Agency (EPA), Environment Canada and Natural Resources Canada (NRCan) and the lead officials in all four have been changed by cabinet shuffle or resignation.",['0'],['0'],0,0
1746,About Us About Us Who We Are Our People Our Science Our Accountability How We Work Our History Where We Work Africa Asia Pacific Canada Caribbean Europe India Latin America United States,About Us About Us Who We Are Our People Our Science Our Accountability How We Work Our History Where We Work Africa Asia Pacific Canada Caribbean Europe India Latin America United States,['0'],['0'],0,0
1443,"Protect Ocean, Land & Fresh Water","Protect Ocean, Land & Fresh Water",['0'],['0'],0,0
1790,"Multiple large corporations are now working with Obama and Democrats to pass the infamous 'cap & trade' legislation, which will result in the the consumer and small businesses absorbing the trillions of dollars of direct/indirect costs it will generate. These big corporations are working behind the scenes for their own benefit, without regard to their customers or suppliers. Any consumer or small company that does not want more of their hard-earned dollars going to ""skyrocketing"" energy costs, and gigantic CO2 taxes, passed down from the large corporations, should avoid the services and products from these corporations, as much as possible. Below the fold is a list of corporations to avoid when at all possible:","Multiple large corporations are now working with Obama and Democrats to pass the infamous 'cap & trade' legislation, which will result in the the consumer and small businesses absorbing the trillions of dollars of direct/indirect costs it will generate. These big corporations are working behind the scenes for their own benefit, without regard to their customers or suppliers. Any consumer or small company that does not want more of their hard-earned dollars going to ""skyrocketing"" energy costs, and gigantic CO2 taxes, passed down from the large corporations, should avoid the services and products from these corporations, as much as possible. Below the fold is a list of corporations to avoid when at all possible:",['4.1.1'],['4.1.1'],1,1
1422,"Florida, there has been a record number hit Japan 10?? and I saw a report","Florida, there has been a record number hit Japan 10"" and I saw a report",['0'],['0'],0,0
1327,"And research from PwC estimates that using AI for environmental applications in agriculture, water, energy and transportation could contribute up to $5.2 trillion to the global economy, create 38.2 million net new jobs and reduce greenhouse gas emissions by 4% in 2030.","And research from PwC estimates that using AI for environmental applications in agriculture, water, energy and transportation could contribute up to $5.2 trillion to the global economy, create 38.2 million net new jobs and reduce greenhouse gas emissions by 4% in 2030.",['0'],['0'],0,0
1071,"??? The Fox Basin encompasses the northern end of the Hudson Bay. In 1996 studies estimated the bear population to be 2119 and then was raised to 2300 bears in 2004. The results from a recent aerial survey published in 2012 now estimate that the Fox Basin embraces about 2580 bears. Instead of listing this population as increasing, or at least stable, Derochers PBSG hid their thriving population with an odd data deficient designation."," The Fox Basin encompasses the northern end of the Hudson Bay. In 1996 studies estimated the bear population to be 2119 and then was raised to 2300 bears in 2004. The results from a recent aerial survey published in 2012 now estimate that the Fox Basin embraces about 2580 bears. Instead of listing this population as increasing, or at least stable, Derochers PBSG hid their thriving population with an odd data deficient designation.",['0'],['3.2.2'],0,2
164,"If Gore had really wanted a big event on the Mall, all he would have had to do was pick another weekend. The big bad Bush Administration and the mean old Republican-controlled Congress placed no obstacles in the way of antiwar rallies and Earth Day events held on the Mall in the past few years that bashed the President and the party. The Park Service issues permits in a professional manner without regard to an event's ideological content. But it will not let an event jump in front of the line, even if the organizer is a former vice president and Academy Award winner. As the Washington political newspaper The Hill explained, ""Getting access to the Mall comes on a strict first-come, first-serve basis.""","If Gore had really wanted a big event on the Mall, all he would have had to do was pick another weekend. The big bad Bush Administration and the mean old Republican-controlled Congress placed no obstacles in the way of antiwar rallies and Earth Day events held on the Mall in the past few years that bashed the President and the party. The Park Service issues permits in a professional manner without regard to an event's ideological content. But it will not let an event jump in front of the line, even if the organizer is a former vice president and Academy Award winner. As the Washington political newspaper The Hill explained, ""Getting access to the Mall comes on a strict first-come, first-serve basis.""",['5.2.3'],['0'],2,0
586,"At the outset, lets be quite clear: There is no consensus about dangerous anthropogenic global warming (DAGW)and there never was. There is not even a consensus on whether human activities, such as burning fossil fuels to produce useful energy, affect global climate significantly. So whats all this fuss about?","At the outset, lets be quite clear: There is no consensus about dangerous anthropogenic global warming (DAGW)and there never was. There is not even a consensus on whether human activities, such as burning fossil fuels to produce useful energy, affect global climate significantly. So whats all this fuss about?",['5.1.1'],['5.1.1'],2,2
1953,"So, how did the Hollywood actress do in front of the cameras as she described her own personal interest in the issue – driven in part by her desire to protect her children from exposure to chemicals associated in studies with a range of health impacts including asthma, learning and developmental disabilities, reproductive problems and cancer? Well, she was FABULOUS! She was radiant (which most people speculated was a combination of the packed room being stuffy and her pregnancy), articulate, friendly, modest, and funny. She clearly articulated the experience that mothers have expressed over and over again.","So, how did the Hollywood actress do in front of the cameras as she described her own personal interest in the issue – driven in part by her desire to protect her children from exposure to chemicals associated in studies with a range of health impacts including asthma, learning and developmental disabilities, reproductive problems and cancer? Well, she was FABULOUS! She was radiant (which most people speculated was a combination of the packed room being stuffy and her pregnancy), articulate, friendly, modest, and funny. She clearly articulated the experience that mothers have expressed over and over again.",['0'],['0'],0,0
1010,Caribbean,Caribbean,['0'],['0'],0,0
1821,"Existing parameterization of cloud amounts in GCMs are physically very crude. When empirical adjustments of parameters are made to achieve verisimilitude, the model may appear to be validated against the present climate. But such tuning by itself does not guarantee that the response of clouds to a change in CO2 concentration is also tuned. It must thus be emphasized that the modeling of clouds is one of the weakest links in the GCM efforts.","Existing parameterization of cloud amounts in GCMs are physically very crude. When empirical adjustments of parameters are made to achieve verisimilitude, the model may appear to be validated against the present climate. But such tuning by itself does not guarantee that the response of clouds to a change in CO2 concentration is also tuned. It must thus be emphasized that the modeling of clouds is one of the weakest links in the GCM efforts.",['5.1.4'],['5.1.4'],2,2
596,"""SEN. RAND PAUL (R-KY): ""With regard to the idea of whether you have a right to health care, you have realize what that implies. It's not an abstraction. I'm a physician. That means you have a right to come to my house and conscript me. It means you believe in slavery.""""","""SEN. RAND PAUL (R-KY): ""With regard to the idea of whether you have a right to health care, you have realize what that implies. It's not an abstraction. I'm a physician. That means you have a right to come to my house and conscript me. It means you believe in slavery.""""",['0'],['0'],0,0
273,"It may help here to think of prices on the stock market. The Dow-Jones index has more or less been level for the last several weeks, fluctuating between 15,000 and 16,000, showing essentially a zero trend; but it is at its highest level since the D-J index was started in 1896.","It may help here to think of prices on the stock market. The Dow-Jones index has more or less been level for the last several weeks, fluctuating between 15,000 and 16,000, showing essentially a zero trend; but it is at its highest level since the D-J index was started in 1896.",['0'],['0'],0,0
1757,"“The stream protection rule requires the restoration of the physical form, hydrologic function, and ecological function of the segment of a perennial or intermittent stream that a permittee mines through. Additionally, it requires that the postmining surface configuration of the reclaimed minesite include a drainage pattern, including ephemeral streams, similar to the premining drainage pattern, with exceptions for stability, topographical changes, fish and wildlife habitat, etc.”","“The stream protection rule requires the restoration of the physical form, hydrologic function, and ecological function of the segment of a perennial or intermittent stream that a permittee mines through. Additionally, it requires that the postmining surface configuration of the reclaimed minesite include a drainage pattern, including ephemeral streams, similar to the premining drainage pattern, with exceptions for stability, topographical changes, fish and wildlife habitat, etc.”",['0'],['0'],0,0
2067,"Editor’s note: This post was updated on Sept. 8, 2016, with results from a NOAA study on the Baton Rouge flood.","Editor’s note: This post was updated on Sept. 8, 2016, with results from a NOAA study on the Baton Rouge flood.",['0'],['0'],0,0
1575,How We Work,How We Work,['0'],['0'],0,0
1151,"The Dr. George Rieveschl Jr. Creek’s Bend Overlook is the first stop in exploring the 20,000-acre Edge of Appalachia Preserve, Ohio’s largest privately owned protected natural area. With its forests and prairies, streams and waterfalls, the preserve is one of the most biologically diverse areas in the Midwest. More than 100 rare plant and animal species call this preserve home.","The Dr. George Rieveschl Jr. Creek’s Bend Overlook is the first stop in exploring the 20,000-acre Edge of Appalachia Preserve, Ohio’s largest privately owned protected natural area. With its forests and prairies, streams and waterfalls, the preserve is one of the most biologically diverse areas in the Midwest. More than 100 rare plant and animal species call this preserve home.",['0'],['0'],0,0
928,"Eighty years ago this summer, more than 80% of the US was experiencing drought, and about half the country was in extreme drought.","Eighty years ago this summer, more than 80% of the US was experiencing drought, and about half the country was in extreme drought.",['0'],['1.7'],0,2
1563,His playing days may be over but Pfannenstiel's passion for environmental issues is now taking his career into even more unpredictable directions.,His playing days may be over but Pfannenstiel's passion for environmental issues is now taking his career into even more unpredictable directions.,['0'],['0'],0,0
67,"What we demonstrated in our JGR paper earlier this year is that when cloud changes cause temperature changes, it gives the illusion of positive cloud feedback even if strongly negative cloud feedback is really operating!","What we demonstrated in our JGR paper earlier this year is that when cloud changes cause temperature changes, it gives the illusion of positive cloud feedback even if strongly negative cloud feedback is really operating!",['0'],['2.1'],0,2
1275,"The six scientists report that they ""found almost no direct effects of OA on microzooplankton composition and diversity,"" and that ""both the relative shares of ciliates and heterotrophic dinoflagellates as well as the taxonomic composition of microzooplankton remained unaffected by changes in pCO 2 /pH.""","The six scientists report that they ""found almost no direct effects of OA on microzooplankton composition and diversity,"" and that ""both the relative shares of ciliates and heterotrophic dinoflagellates as well as the taxonomic composition of microzooplankton remained unaffected by changes in pCO 2 /pH.""",['3.2.1'],['3.2.3'],2,2
1258,FAQ,FAQ,['0'],['0'],0,0
745,How long are the Republicans going to throw taxpayers under the bus. I don’t recognize a party that is willing to put corporate greed before the health and welfare of the voters and who disregards the environment and the fragility of our world. Don’t look for my support in 2018 unless you Republicans start remembering the people who elected you to support them.,How long are the Republicans going to throw taxpayers under the bus. I don’t recognize a party that is willing to put corporate greed before the health and welfare of the voters and who disregards the environment and the fragility of our world. Don’t look for my support in 2018 unless you Republicans start remembering the people who elected you to support them.,['0'],['0'],0,0
898,as an Illinois state senator is also interesting as a preview of his,as an Illinois state senator is also interesting as a preview of his,['0'],['0'],0,0
69,"Indian monsoon rainfall has dropped since the 50s, but climate change should increase it. Whats going on?","Indian monsoon rainfall has dropped since the 50s, but climate change should increase it. Whats going on?",['1.7'],['1.7'],2,2
937,"In popular science journalism thelatestis always the best. With all the explanations for the pause in global surface temperatures since 1997 there are now over 30 of them it is always the most recently published one that is the answer. This time its the Atlantic Ocean thats to blame. A paper published in Science says that a 30-year periodicity warms and cools the world by sequestering heat below the oceans surface and then releasing it. You dont have to look very deeply at the science to realise that, despite the headlines, no one has come up with an answer to the pause. --David Whitehouse, The Global Warming Policy Foundation, 26 August 2014","In popular science journalism thelatestis always the best. With all the explanations for the pause in global surface temperatures since 1997 there are now over 30 of them it is always the most recently published one that is the answer. This time its the Atlantic Ocean thats to blame. A paper published in Science says that a 30-year periodicity warms and cools the world by sequestering heat below the oceans surface and then releasing it. You dont have to look very deeply at the science to realise that, despite the headlines, no one has come up with an answer to the pause. --David Whitehouse, The Global Warming Policy Foundation, 26 August 2014",['1.4'],['1.4'],2,2
1251,"Jan vejnar, a professor of economics at University of Michigan and a U.S. citizen, decided that he wants to be the next Czech president who will be elected by the Parliament in February 2008. Vclav Klaus remains the likely winner but with the support of the Czech Social Democratic Party and the Green Party, vejnar becomes a serious contender. Jan vejnar vs Lubo Motl : a Google fight I have nothing against him personally but I find it somewhat strange for a person who has no idea about the life in the Czech Republic to become its president. He has lived in the U.S. since 1970 or so.","Jan vejnar, a professor of economics at University of Michigan and a U.S. citizen, decided that he wants to be the next Czech president who will be elected by the Parliament in February 2008. Vclav Klaus remains the likely winner but with the support of the Czech Social Democratic Party and the Green Party, vejnar becomes a serious contender. Jan vejnar vs Lubo Motl : a Google fight I have nothing against him personally but I find it somewhat strange for a person who has no idea about the life in the Czech Republic to become its president. He has lived in the U.S. since 1970 or so.",['0'],['0'],0,0
616,EB BUENA VISTA,EB BUENA VISTA,['0'],['0'],0,0
527,We did exactly that for a new study to determine how common so-called “super emitter” sites are.,We did exactly that for a new study to determine how common so-called “super emitter” sites are.,['0'],['0'],0,0
1754,"Surveyed scientists agree global warming is real January 19, 2009","Surveyed scientists agree global warming is real January 19, 2009",['0'],['0'],0,0
1400,"Second, the President re-asserted the primacy of terrorism as the most important direct threat to the nation, though he derided those who would advocate a strategy of "" invading every country "" harboring terrorists (whoever they may be). This position again plays to the crowd, to Americans who can still remember devastating terrorist attacks on our soil but who have forgotten the horrors of great power competition. He defended the right to pursue terrorists wherever they may be, under certain conditions of course. Among those conditions appears to be the notion of not creating more enemies than we take off the battlefield. How this is measured, I cannot with certainty say. This is clearly a reaction against what the Obama Administration views as the fallout of his predecessor's policies. As a hard and fast rule enforced absent context, this condition might put one at a disadvantage against an opponent without the same sensitivities.","Second, the President re-asserted the primacy of terrorism as the most important direct threat to the nation, though he derided those who would advocate a strategy of "" invading every country "" harboring terrorists (whoever they may be). This position again plays to the crowd, to Americans who can still remember devastating terrorist attacks on our soil but who have forgotten the horrors of great power competition. He defended the right to pursue terrorists wherever they may be, under certain conditions of course. Among those conditions appears to be the notion of not creating more enemies than we take off the battlefield. How this is measured, I cannot with certainty say. This is clearly a reaction against what the Obama Administration views as the fallout of his predecessor's policies. As a hard and fast rule enforced absent context, this condition might put one at a disadvantage against an opponent without the same sensitivities.",['0'],['0'],0,0
1885,"These papers all report anomalously increased OLR associated with tropical surface warming. Models, by contrast, fail to show such an increase. Presumably that is why it is referred to as anomalous. One can (though the authors dont) infer a negative feedback factor from the observations, and it is at the high end of what LCH estimate. Moreover, the anomaly is associated with reduced upper level cirrus. However, the same papers insist that what they see is not the Iris Effect, but rather the result of a change in the large scale circulation. However, there is something seriously wrong with this attribution.","These papers all report anomalously increased OLR associated with tropical surface warming. Models, by contrast, fail to show such an increase. Presumably that is why it is referred to as anomalous. One can (though the authors dont) infer a negative feedback factor from the observations, and it is at the high end of what LCH estimate. Moreover, the anomaly is associated with reduced upper level cirrus. However, the same papers insist that what they see is not the Iris Effect, but rather the result of a change in the large scale circulation. However, there is something seriously wrong with this attribution.",['5.1.4'],['5.1.4'],2,2
1769,"Appointments that can last for two years, with many being made by governors of the opposite party of the departing Senator, with most appointees seeking the seat in the forthcoming election, and with often embarrassing politicking (and occasionally bribery) surrounding the appointment process, have many wrongheaded and even loathsome qualities. But moving to no appointments period is a huge step backward when it comes to ensuring that our first branch of government is up and running quickly in the event of a catastrophe.","Appointments that can last for two years, with many being made by governors of the opposite party of the departing Senator, with most appointees seeking the seat in the forthcoming election, and with often embarrassing politicking (and occasionally bribery) surrounding the appointment process, have many wrongheaded and even loathsome qualities. But moving to no appointments period is a huge step backward when it comes to ensuring that our first branch of government is up and running quickly in the event of a catastrophe.",['0'],['0'],0,0
310,"NRDC, along with Canadian partner the Pembina Institute, has expressed its concern to the Smithsonian that the exhibit will not present a complete picture of the devastating environmental consequences of mining and drilling Alberta's boreal forests and wetlands for the underlying tar sands oil. The exhibit is being sponsored by the Alberta provincial government and many of Canada's biggest energy companies, whose champions also are in Washington this week to promote U.S. investment in Canadian tar sands oil development.","NRDC, along with Canadian partner the Pembina Institute, has expressed its concern to the Smithsonian that the exhibit will not present a complete picture of the devastating environmental consequences of mining and drilling Alberta's boreal forests and wetlands for the underlying tar sands oil. The exhibit is being sponsored by the Alberta provincial government and many of Canada's biggest energy companies, whose champions also are in Washington this week to promote U.S. investment in Canadian tar sands oil development.",['0'],['0'],0,0
572,"The coupled ocean-atmosphere processes of El Nio and La Nia, the largest contributors to natural variations in global temperature and precipitation on annual, multiyear, and decadal timescales. (Recall that the 1997/98 El Nio was determined to be the cause of extreme weather around the globe. For years we heard that every weather event was caused by El Nio or La Nina. Not long thereafter that shifted to greenhouse gasessolely for political reasons.)","The coupled ocean-atmosphere processes of El Nio and La Nia, the largest contributors to natural variations in global temperature and precipitation on annual, multiyear, and decadal timescales. (Recall that the 1997/98 El Nio was determined to be the cause of extreme weather around the globe. For years we heard that every weather event was caused by El Nio or La Nina. Not long thereafter that shifted to greenhouse gasessolely for political reasons.)",['2.1'],"['2.1', '5.2.3']",2,2
1731,"There is no support for this type of environmental and energy legislation in the U.S. Congress among most Republicans, and little among Democrats.","There is no support for this type of environmental and energy legislation in the U.S. Congress among most Republicans, and little among Democrats.",['0'],['0'],0,0
1316,"In the context of the current economic crisis, the report notes that Missourians spend more than $18 billion every year on natural gas for heating, fuel for cars and trucks, and electricity to power homes and businesses. With a population of nearly 6 million people, that comes to $3,000 in energy costs for every person in Missouri – and most of those dollars leave the state, never to return due to the fact that eighty-four percent of Missouri electricity is generated using coal, almost all of which is shipped in from Wyoming.","In the context of the current economic crisis, the report notes that Missourians spend more than $18 billion every year on natural gas for heating, fuel for cars and trucks, and electricity to power homes and businesses. With a population of nearly 6 million people, that comes to $3,000 in energy costs for every person in Missouri – and most of those dollars leave the state, never to return due to the fact that eighty-four percent of Missouri electricity is generated using coal, almost all of which is shipped in from Wyoming.",['0'],['0'],0,0
1020,"No word yet on whether the ""environmental activists, local health","No word yet on whether the ""environmental activists, local health",['0'],['0'],0,0
440,IPCC Third Assessment Report Climate Change 2001 Complete online versions | GRID-Arendal Publications Other,IPCC Third Assessment Report Climate Change 2001 Complete online versions | GRID-Arendal Publications Other,['0'],['0'],0,0
1314,"This one does 2 minutes on a single person. High res and slow advance; there are a lot of detail matches, even things like neck and eye wrinkles and tooth shape / positions (made harder by different exposure of tooth length with different smile depths).","This one does 2 minutes on a single person. High res and slow advance; there are a lot of detail matches, even things like neck and eye wrinkles and tooth shape / positions (made harder by different exposure of tooth length with different smile depths).",['0'],['0'],0,0
1396,"Against that backdrop, the big announcement of the meeting was the roll-out of a multi-stakeholder effort to find solutions. This was a noteworthy and welcome departure from the way water management in the basin has traditionally been handled. It usually went on behind closed-doors, in negotiations limited to representatives of water rights holders who supply the region’s farms, ranches and cities. The predictable result has been management that ignores the needs of those without a seat at the table.","Against that backdrop, the big announcement of the meeting was the roll-out of a multi-stakeholder effort to find solutions. This was a noteworthy and welcome departure from the way water management in the basin has traditionally been handled. It usually went on behind closed-doors, in negotiations limited to representatives of water rights holders who supply the region’s farms, ranches and cities. The predictable result has been management that ignores the needs of those without a seat at the table.",['0'],['0'],0,0
1243,Id really like to see Al Gore sitting down on that rug with those kids. He might learn something.,Id really like to see Al Gore sitting down on that rug with those kids. He might learn something.,['0'],['0'],0,0
1434,Yet the landscape is far from bleak. Opportunities beckon for real pro-gress in the development of Israeli-Palestinian relations.,Yet the landscape is far from bleak. Opportunities beckon for real pro-gress in the development of Israeli-Palestinian relations.,['0'],['0'],0,0
53,"“The Clean Power Plan will reduce dangerous carbon pollution while creating good jobs, boost the economy and protect public health right here, right now in Illinois. Senator Kirk's vote today keeps those benefits on the table for Illinoisans now and in the future. I hope that today's vote forecasts things to come for Senator Kirk.”","“The Clean Power Plan will reduce dangerous carbon pollution while creating good jobs, boost the economy and protect public health right here, right now in Illinois. Senator Kirk's vote today keeps those benefits on the table for Illinoisans now and in the future. I hope that today's vote forecasts things to come for Senator Kirk.”",['0'],['0'],0,0
1353,"America’s natural landscapes are unique, irreplaceable resources central to our health, economy and way of life.","America’s natural landscapes are unique, irreplaceable resources central to our health, economy and way of life.",['0'],['0'],0,0
1561,"Thats not all, a quick glance at the graph shows globally averaged temperatures have remained below the January 24, 2006 benchmark (when Gores movie was released at the Sundance Film Festival) except for the first few months of 2007.","Thats not all, a quick glance at the graph shows globally averaged temperatures have remained below the January 24, 2006 benchmark (when Gores movie was released at the Sundance Film Festival) except for the first few months of 2007.",['1.4'],['1.4'],2,2
276,Missouri State Director Adam McLane Email: amclane@tnc.org,Missouri State Director Adam McLane Email: amclane@tnc.org,['0'],['0'],0,0
666,"A similar theme is part of an As You Sow shareholder resolution filed with chemical giant Dupont in order to cast aspersions on biotechnology. Pretending as if biotechnology is some unregulated and haphazard Frankenstein-making process rather than the heavily regulated activity it actually is, As You Sow seeks to be come a new biotech regulator by demanding special biotech safety reports and assurances.","A similar theme is part of an As You Sow shareholder resolution filed with chemical giant Dupont in order to cast aspersions on biotechnology. Pretending as if biotechnology is some unregulated and haphazard Frankenstein-making process rather than the heavily regulated activity it actually is, As You Sow seeks to be come a new biotech regulator by demanding special biotech safety reports and assurances.",['0'],['0'],0,0
1048,Was there ever heavy snow before human progress? Was there light snow?,Was there ever heavy snow before human progress? Was there light snow?,['0'],['0'],0,0
1031,"Canadian authorities reduced the quotas on the harp seal hunt by about 20 percent after overflights showed large numbers of seal pups were lost to thin and melting ice in the lower part of the gulf, off Prince Edward Island.","Canadian authorities reduced the quotas on the harp seal hunt by about 20 percent after overflights showed large numbers of seal pups were lost to thin and melting ice in the lower part of the gulf, off Prince Edward Island.",['0'],['0'],0,0
1968,"Its another unusually cold winter striking the continent. Last year, hundreds froze to death. The same occurred in the winter of 2010.","Its another unusually cold winter striking the continent. Last year, hundreds froze to death. The same occurred in the winter of 2010.",['1.3'],['1.3'],2,2
1498,"In the meanwhile, lets wait fora few confirmatory experiments","In the meanwhile, lets wait fora few confirmatory experiments",['0'],['0'],0,0
2023,Anything that absorbs energy must also re-emit energy. How much is released depends on the temperature of the object.,Anything that absorbs energy must also re-emit energy. How much is released depends on the temperature of the object.,['0'],['0'],0,0
306,United Nations Environmental Program (UNEP) in 1995 predicted sea levels rises would result in 50 million climate refugees by the year 2010. No climate refugees by that year. Very large Error,United Nations Environmental Program (UNEP) in 1995 predicted sea levels rises would result in 50 million climate refugees by the year 2010. No climate refugees by that year. Very large Error,"['1.6', '5.1.4', '5.2.3']",['5.1.4'],2,2
1657,"has long hung his hat on the proposition the climate has been cooling since 1998. But with 2005 and 2010 being the hottest years on record, he resorts to cherry-picking which dataset to use. Rather than use temperature records that cover the entire globe, he opts for datasets that do not include the Arctic region, where warming is the strongest. These temperature records underestimate recent warming and are the darling of those who wish to deny global warming is happening.","has long hung his hat on the proposition the climate has been cooling since 1998. But with 2005 and 2010 being the hottest years on record, he resorts to cherry-picking which dataset to use. Rather than use temperature records that cover the entire globe, he opts for datasets that do not include the Arctic region, where warming is the strongest. These temperature records underestimate recent warming and are the darling of those who wish to deny global warming is happening.",['0'],['0'],0,0
909,"Just when you were starting to believe that variations in the amount of energy coming from the sun werent responsible for much of the observed surface warming during the past 20 years, comes along a paper in Geophysical Research Letters from two researchers at Duke University, Nicola Scafetta and Bruce West, that concludes otherwise:","Just when you were starting to believe that variations in the amount of energy coming from the sun werent responsible for much of the observed surface warming during the past 20 years, comes along a paper in Geophysical Research Letters from two researchers at Duke University, Nicola Scafetta and Bruce West, that concludes otherwise:",['2.1.1'],['2.1.1'],2,2
